"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 04-Jul-2023"
NIFTY 50,"24,369.95","24,401.00","24,281.00","24,286.50","24,302.15",15.65,0.06,"25,11,89,844","28,466.47","24,401.00","18,837.85",4.46,25.34
TATAMOTORS,984,"1,004.00",979.6,975.65,"1,002.50",26.85,2.75,"1,21,39,832","1,205.27","1,065.60",584.95,5.02,68.77
HCLTECH,"1,485.00","1,534.55","1,485.00","1,481.00","1,520.00",39,2.63,"68,22,557","1,036.82","1,697.35","1,087.05",15.82,27.86
ICICIBANK,"1,229.00","1,234.95","1,214.30","1,201.60","1,231.95",30.35,2.53,"1,52,75,791","1,872.98","1,235.00",899,6.29,30.52
SUNPHARMA,"1,535.00","1,571.00","1,526.00","1,533.95","1,562.00",28.05,1.83,"26,30,823",408.98,"1,638.85","1,028.75",7.22,48.54
TCS,"3,999.85","4,047.35","3,982.10","3,965.25","4,019.95",54.7,1.38,"25,18,001","1,013.45","4,254.75","3,250.10",8.59,21.52
INFY,"1,628.20","1,660.00","1,628.00","1,627.40","1,648.95",21.55,1.32,"80,08,311","1,323.63","1,733.00","1,305.00",17.41,22.71
HDFCLIFE,596,607.3,594.3,596.15,603.8,7.65,1.28,"50,28,421",303.41,710.6,511.4,9.79,-6.65
KOTAKBANK,"1,806.60","1,838.55","1,801.30","1,810.70","1,832.00",21.3,1.18,"50,68,893",926.05,"1,987.75","1,543.85",6.74,-1.5
COALINDIA,488.75,492.8,485.3,484.95,489.9,4.95,1.02,"77,96,954",381.47,527.4,226.85,-4.45,111.19
ONGC,275,278.9,273.05,274.7,277.5,2.8,1.02,"1,34,44,669",371.11,292.95,160,-2.48,71.87
M&M,"2,890.00","2,922.00","2,885.05","2,877.95","2,901.10",23.15,0.8,"15,02,213",436.64,"3,013.50","1,415.75",10.21,98.22
DRREDDY,"6,430.00","6,542.00","6,370.10","6,425.90","6,471.10",45.2,0.7,"3,48,849",225.31,"6,542.00","5,076.25",12.04,24.88
BAJAJ-AUTO,"9,479.90","9,499.00","9,420.35","9,422.40","9,485.00",62.6,0.66,"2,34,656",221.89,"10,038.80","4,541.00",1.34,104.54
SBILIFE,"1,496.40","1,518.85","1,492.25","1,496.35","1,506.10",9.75,0.65,"13,63,288",205.31,"1,569.40","1,251.65",8.35,16.95
APOLLOHOSP,"6,200.95","6,244.00","6,161.00","6,192.70","6,215.10",22.4,0.36,"2,22,050",137.98,"6,874.45","4,726.00",6.39,21.82
BHARTIARTL,"1,418.00","1,441.10","1,411.50","1,419.85","1,424.45",4.6,0.32,"95,70,938","1,362.64","1,536.25",847.05,2.3,64.49
HINDALCO,697.7,705.75,690.55,691.65,693.5,1.85,0.27,"59,24,057",413.9,715.25,417.15,-0.59,62.48
