"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","25,940.90","25,976.75","25,878.00","25,942.10","25,938.85","-","-3.25","-0.01","39,68,93,959","39,492.08","26,325.80","21,743.65","-1.01","8.93"
"BAJAJ-AUTO","9,087.00","9,299.00","9,025.50","9,087.00","9,298.00","-","211.00","2.32","4,64,922","428.90","9,490.00","7,089.35","2.30","3.96"
"HINDALCO","868.00","888.30","863.85","865.00","883.30","-","18.30","2.12","1,52,80,248","1,347.57","888.30","546.45","9.37","43.21"
"SHRIRAMFIN","960.95","984.60","960.95","955.50","974.55","-","19.05","1.99","1,77,57,531","1,734.04","984.60","493.35","15.00","-66.21"
"TATASTEEL","172.78","176.35","170.80","172.30","175.68","-","3.38","1.96","3,37,41,158","588.31","186.94","122.62","4.67","26.56"
"M&M","3,590.00","3,666.00","3,575.20","3,592.10","3,660.00","-","67.90","1.89","20,63,179","752.41","3,795.00","2,425.00","-2.58","20.03"
"JSWSTEEL","1,093.00","1,114.00","1,089.50","1,092.60","1,110.00","-","17.40","1.59","16,09,086","177.65","1,223.90","880.00","-4.20","21.71"
"BAJAJFINSV","2,012.00","2,047.80","1,980.40","2,012.10","2,040.20","-","28.10","1.40","54,50,560","1,097.03","2,195.00","1,560.00","-3.23","28.31"
"AXISBANK","1,233.00","1,252.10","1,232.00","1,232.00","1,246.00","-","14.00","1.14","56,73,233","706.11","1,304.00","933.50","-2.63","15.64"
"ADANIPORTS","1,450.00","1,470.50","1,447.30","1,454.40","1,468.50","-","14.10","0.97","34,63,973","506.37","1,549.00","1,010.75","-3.67","18.73"
"BHARTIARTL","2,077.00","2,102.80","2,071.60","2,081.60","2,099.40","-","17.80","0.86","69,83,390","1,465.35","2,174.50","1,559.50","-0.09","31.25"
"SBIN","963.00","976.20","959.50","965.05","973.10","-","8.05","0.83","1,50,30,644","1,460.96","999.00","680.00","-0.57","21.73"
"BEL","395.80","397.00","389.55","393.25","395.95","-","2.70","0.69","3,77,26,382","1,481.82","436.00","240.25","-4.48","34.67"
"TMPV","358.60","363.95","358.45","358.60","360.90","-","2.30","0.64","1,38,07,060","499.04","810.00","337.70","1.39","-"
"ADANIENT","2,204.80","2,219.00","2,195.00","2,203.20","2,215.80","-","12.60","0.57","9,35,026","206.56","2,616.50","1,967.52","-2.87","-8.10"
"MARUTI","16,575.00","16,818.00","16,482.00","16,542.00","16,625.00","-","83.00","0.50","10,55,843","1,758.91","16,818.00","10,750.10","4.70","52.15"
"SBILIFE","2,009.80","2,019.80","1,968.20","2,009.80","2,019.70","-","9.90","0.49","31,66,927","630.28","2,086.60","1,372.55","1.50","42.00"
"LT","4,039.00","4,063.90","4,006.20","4,038.70","4,056.00","-","17.30","0.43","13,62,208","551.30","4,140.00","2,965.30","-0.43","12.30"
"HDFCBANK","990.20","995.00","982.20","991.70","995.00","-","3.30","0.33","3,31,55,849","3,279.61","1,020.50","812.15","-1.66","-44.90"
"ICICIBANK","1,343.30","1,347.10","1,338.10","1,343.30","1,347.00","-","3.70","0.28","1,86,21,277","2,498.85","1,500.00","1,186.00","-3.33","2.67"
