"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP 100","59,980.35","60,046.85","59,733.75","60,001.30","59,914.25","-","-87.05","-0.15","1,70,36,73,411","32,965.39","61,311.25","46,865.70","-1.85","5.15"
"SAIL","134.09","141.80","133.54","134.09","141.30","-","7.21","5.38","4,12,45,044","575.00","145.90","99.15","4.53","22.06"
"NATIONALUM","298.00","318.85","298.00","300.90","317.00","-","16.10","5.35","2,48,81,884","777.01","318.85","137.75","21.78","48.23"
"M&MFIN","386.45","408.20","385.10","386.40","406.25","-","19.85","5.14","1,17,18,964","471.50","412.20","231.02","0.69","8.55"
"NMDC","80.90","83.79","80.60","80.84","83.43","-","2.59","3.20","4,04,18,456","334.30","84.15","59.53","12.84","20.33"
"INDIANB","784.45","815.20","778.65","784.45","807.10","-","22.65","2.89","79,51,593","641.49","894.85","473.90","-7.04","47.84"
"MRF","1,48,800.00","1,55,205.00","1,48,170.00","1,48,760.00","1,52,500.00","-","3,740.00","2.51","8,688","130.26","1,63,600.00","1,02,124.05","-0.87","14.85"
"360ONE","1,164.40","1,217.90","1,164.30","1,170.60","1,200.00","-","29.40","2.51","9,39,031","111.24","1,318.00","790.50","0.71","-4.74"
"HEROMOTOCO","5,570.00","5,742.50","5,566.50","5,566.00","5,699.00","-","133.00","2.39","29,80,473","1,698.16","6,388.50","3,344.00","-7.51","34.76"
"NHPC","76.80","78.75","76.80","76.79","78.61","-","1.82","2.37","1,71,54,730","133.57","92.34","71.00","2.40","-2.18"
"ASHOKLEY","175.50","179.97","174.01","174.92","179.05","-","4.13","2.36","5,87,90,880","1,048.65","179.97","95.93","12.97","-18.99"
"UPL","770.00","792.65","768.90","770.95","787.45","-","16.50","2.14","83,29,037","652.85","792.65","493.00","3.78","56.83"
"NYKAA","258.80","267.20","256.00","258.85","263.85","-","5.00","1.93","2,54,58,240","670.54","273.22","154.90","-1.41","65.07"
"MUTHOOTFIN","3,710.00","3,819.00","3,690.10","3,736.50","3,794.70","-","58.20","1.56","16,88,316","639.35","3,890.00","1,965.00","1.47","83.57"
"IRB","41.62","42.40","41.16","41.62","42.25","-","0.63","1.51","62,76,612","26.17","60.95","40.51","-1.82","-23.72"
"LTF","299.00","307.45","298.45","300.00","304.50","-","4.50","1.50","2,52,81,188","768.95","315.35","129.20","-2.21","121.39"
"BANKINDIA","139.91","142.50","138.11","139.91","142.00","-","2.09","1.49","1,52,68,073","215.80","151.43","90.05","-3.49","38.14"
"OIL","408.20","413.00","404.80","406.30","412.10","-","5.80","1.43","12,77,438","52.37","494.55","325.00","-0.42","-3.22"
"BHEL","279.70","283.75","276.30","279.40","283.05","-","3.65","1.31","50,22,408","140.94","295.25","176.00","-2.77","20.14"
"IDEA","11.93","12.19","11.93","11.96","12.11","-","0.15","1.25","67,44,74,076","811.39","12.22","6.12","21.08","61.45"
"UNIONBANK","149.51","152.84","148.12","149.15","150.96","-","1.81","1.21","3,43,76,366","520.36","160.15","100.81","-1.06","28.66"
"DABUR","489.40","497.35","487.00","489.30","495.00","-","5.70","1.16","22,16,264","109.55","577.00","433.30","-4.20","-2.27"
"FEDERALBNK","263.45","269.40","262.00","262.90","265.85","-","2.95","1.12","3,70,37,734","989.76","271.10","172.66","3.75","36.02"
"GMRAIRPORT","101.86","103.66","101.08","101.96","102.94","-","0.98","0.96","5,25,46,038","539.60","110.36","67.75","-5.07","30.12"
"GLENMARK","2,004.60","2,039.00","2,000.00","2,009.70","2,026.60","-","16.90","0.84","23,04,769","466.98","2,284.80","1,275.50","4.30","27.99"
"BHARATFORG","1,441.00","1,466.80","1,441.00","1,445.70","1,456.60","-","10.90","0.75","7,91,722","115.43","1,470.60","919.10","1.45","10.63"
"TATACOMM","1,799.00","1,823.10","1,774.00","1,800.00","1,812.00","-","12.00","0.67","4,04,889","73.19","2,004.00","1,291.00","-0.19","5.72"
"AUBANK","985.00","1,000.00","980.50","986.65","993.10","-","6.45","0.65","1,02,50,412","1,021.18","1,007.25","478.35","4.31","80.45"
"SWIGGY","395.00","399.70","386.55","394.85","396.50","-","1.65","0.42","75,83,146","297.33","568.00","297.00","4.16","-27.82"
"PATANJALI","541.00","550.00","537.65","542.05","544.25","-","2.20","0.41","13,01,863","70.86","670.33","521.00","-3.85","-68.76"
"INDUSTOWER","422.00","426.40","419.80","422.25","423.95","-","1.70","0.40","45,70,566","193.30","430.00","312.55","5.24","28.07"
"ABCAPITAL","346.75","351.80","345.65","346.75","348.05","-","1.30","0.37","1,76,42,736","616.37","368.95","149.01","-2.44","90.62"
"BIOCON","390.90","392.90","388.90","390.40","391.40","-","1.00","0.26","39,36,901","153.89","424.95","291.00","-2.00","10.74"
"ACC","1,725.20","1,745.00","1,715.00","1,725.20","1,729.20","-","4.00","0.23","2,27,716","39.50","2,119.90","1,715.00","-6.40","-16.15"
"INDUSINDBK","839.60","844.10","833.25","839.60","841.45","-","1.85","0.22","44,09,838","370.20","1,086.55","606.00","-1.99","-11.74"
"HDFCAMC","2,647.00","2,655.00","2,622.60","2,647.20","2,652.00","-","4.80","0.18","12,65,693","333.52","2,967.25","1,781.53","-1.60","-38.30"
"PERSISTENT","6,205.50","6,279.00","6,126.50","6,228.50","6,235.00","-","6.50","0.10","12,31,316","761.94","6,768.80","4,148.95","-2.68","-3.29"
"APLAPOLLO","1,890.90","1,898.00","1,870.30","1,888.60","1,890.00","-","1.40","0.07","10,00,926","188.49","1,936.00","1,272.70","9.56","24.31"
"ATGL","565.00","567.15","562.50","564.90","565.00","-","0.10","0.02","2,43,328","13.73","798.00","532.60","-7.02","-16.97"
"SONACOMS","478.00","482.60","476.00","477.40","477.40","-","-","-","19,14,434","91.76","607.30","380.00","-6.44","-20.25"
"DIXON","11,880.00","12,026.00","11,646.00","11,857.00","11,856.00","-","-1.00","-0.01","13,89,580","1,639.17","18,700.00","11,646.00","-19.41","-34.53"
"POLYCAB","7,475.00","7,596.50","7,470.00","7,493.50","7,492.00","-","-1.50","-0.02","3,70,086","278.38","7,903.00","4,555.00","0.36","4.86"
"IDFCFIRSTB","84.51","85.38","83.55","84.54","84.50","-","-0.04","-0.05","5,33,62,514","452.25","85.95","52.46","5.87","35.68"
"LUPIN","2,091.70","2,098.80","2,065.10","2,082.10","2,080.40","-","-1.70","-0.08","17,10,128","355.53","2,402.90","1,795.20","-0.09","-6.62"
"YESBANK","21.40","21.48","21.15","21.36","21.34","-","-0.02","-0.09","26,70,83,134","570.22","24.30","16.02","-6.80","7.82"
"PHOENIXLTD","1,850.80","1,860.40","1,829.00","1,851.80","1,850.00","-","-1.80","-0.10","3,37,554","62.41","1,871.00","1,402.50","6.61","9.15"
"WAAREEENER","2,972.00","3,000.00","2,926.10","2,980.40","2,976.00","-","-4.40","-0.15","4,50,238","133.25","3,865.00","1,863.00","-6.06","6.81"
"ITCHOTELS","195.80","199.00","193.91","196.49","196.10","-","-0.39","-0.20","17,52,601","34.21","261.62","155.10","-5.97","-"
"SBICARD","848.05","852.50","829.70","849.95","848.20","-","-1.75","-0.21","68,90,747","578.75","1,027.25","663.05","-4.18","24.89"
"MANKIND","2,165.00","2,177.00","2,146.20","2,182.00","2,177.00","-","-5.00","-0.23","3,01,618","65.09","2,998.40","2,090.00","-4.38","-25.05"
"SUPREMEIND","3,276.00","3,300.00","3,261.20","3,276.00","3,266.90","-","-9.10","-0.28","1,58,800","52.00","4,817.95","3,095.00","-3.46","-31.46"
"SRF","3,084.90","3,085.00","3,004.30","3,075.90","3,067.00","-","-8.90","-0.29","20,49,556","621.69","3,325.00","2,196.85","3.79","34.17"
"OBEROIRLTY","1,675.00","1,675.00","1,638.20","1,670.50","1,665.00","-","-5.50","-0.33","2,05,339","33.90","2,337.70","1,451.95","-0.06","-28.91"
"CONCOR","520.25","522.75","514.25","519.95","518.05","-","-1.90","-0.37","29,22,482","151.93","652.04","481.00","1.52","-33.81"
"MPHASIS","2,810.90","2,811.00","2,773.20","2,812.30","2,800.00","-","-12.30","-0.44","3,08,588","86.14","3,078.40","2,044.55","-0.56","-3.06"
"MFSL","1,635.40","1,661.30","1,625.40","1,650.20","1,642.80","-","-7.40","-0.45","31,00,083","506.85","1,751.40","950.00","-3.98","47.76"
"BDL","1,480.00","1,490.20","1,427.60","1,473.70","1,467.00","-","-6.70","-0.45","31,64,931","459.28","2,096.60","907.00","-3.90","21.22"
"KALYANKJIL","486.45","487.40","479.50","486.30","484.00","-","-2.30","-0.47","19,90,368","96.04","795.40","399.40","-4.65","-33.23"
"LICHSGFIN","538.75","540.65","535.15","538.75","535.70","-","-3.05","-0.57","6,38,040","34.31","646.50","483.70","-2.09","-9.89"
"CUMMINSIND","4,402.00","4,471.30","4,360.00","4,402.20","4,369.00","-","-33.20","-0.75","23,72,971","1,043.26","4,615.00","2,580.00","-2.00","33.12"
"FORTIS","883.80","888.30","875.80","883.80","877.10","-","-6.70","-0.76","40,43,040","355.61","1,104.30","577.00","-4.38","28.84"
"AUROPHARMA","1,202.00","1,208.90","1,179.00","1,200.10","1,190.40","-","-9.70","-0.81","10,58,434","125.61","1,356.20","1,010.00","-3.29","-6.59"
"COLPAL","2,070.00","2,075.20","2,051.00","2,070.10","2,053.00","-","-17.10","-0.83","3,44,034","70.82","2,975.00","2,051.00","-5.31","-24.69"
"HUDCO","227.51","229.39","222.75","226.75","224.85","-","-1.90","-0.84","40,62,015","91.42","254.29","158.85","-6.39","-1.30"
"OFSS","7,660.00","7,717.50","7,601.00","7,691.00","7,625.00","-","-66.00","-0.86","1,39,152","106.25","13,220.00","7,038.00","-5.93","-39.70"
"POWERINDIA","18,385.00","18,385.00","17,780.00","18,390.00","18,230.00","-","-160.00","-0.87","1,75,774","318.06","22,840.00","8,801.00","-17.89","23.30"
"HINDPETRO","475.25","480.75","467.40","474.15","470.00","-","-4.15","-0.88","53,80,500","254.79","494.45","287.55","2.46","14.13"
