"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY NEXT 50","68,597.40","68,814.90","68,324.30","68,638.75","68,667.75","-","29.00","0.04","27,63,84,837","14,376.62","70,551.15","56,192.45","-0.68","0.16"
"JINDALSTEL","992.00","1,025.50","986.40","990.50","1,020.70","-","30.20","3.05","20,97,101","212.46","1,098.00","723.35","-2.21","10.58"
"ADANIPOWER","140.43","145.23","139.68","140.44","144.25","-","3.81","2.71","1,59,26,892","228.23","182.70","89.00","-1.93","-71.46"
"VEDL","593.75","607.00","591.15","593.10","606.00","-","12.90","2.18","1,40,79,178","844.51","616.00","363.00","15.12","34.24"
"CANBK","150.50","154.50","149.12","150.92","154.20","-","3.28","2.17","7,61,40,412","1,166.62","154.50","78.60","1.62","53.48"
"ADANIENSOL","1,000.40","1,028.20","996.30","999.35","1,021.00","-","21.65","2.17","8,79,685","89.26","1,050.00","639.45","2.98","27.07"
"BANKBARODA","286.25","293.80","285.50","287.60","292.90","-","5.30","1.84","1,15,05,161","334.55","303.95","190.70","1.10","19.60"
"TVSMOTOR","3,575.00","3,654.00","3,549.10","3,574.20","3,639.00","-","64.80","1.81","14,97,535","541.91","3,734.90","2,171.40","2.92","50.16"
"TORNTPHARM","3,790.00","3,863.00","3,745.10","3,793.70","3,859.40","-","65.70","1.73","3,71,621","141.64","3,882.20","2,886.45","2.73","12.25"
"DIVISLAB","6,410.00","6,500.00","6,285.00","6,390.50","6,480.50","-","90.00","1.41","19,27,570","1,224.36","7,071.50","4,955.00","-1.80","8.15"
"HINDZINC","615.00","630.00","613.05","618.55","625.85","-","7.30","1.18","1,17,18,688","730.86","656.35","378.15","28.87","37.52"
"PNB","120.22","122.77","119.49","120.54","121.96","-","1.42","1.18","2,48,56,697","302.73","127.80","85.46","-1.70","20.64"
"ADANIGREEN","1,002.00","1,011.60","998.30","1,001.90","1,010.00","-","8.10","0.81","20,90,689","209.74","1,177.55","758.00","-3.92","-4.45"
"LICI","841.20","850.35","838.60","842.25","848.65","-","6.40","0.76","10,82,307","91.58","980.00","715.30","-5.05","-4.26"
"LTIM","6,015.00","6,093.50","6,003.00","6,033.50","6,078.00","-","44.50","0.74","2,39,568","145.28","6,380.00","3,802.00","-0.37","6.97"
"ICICIGI","1,935.00","1,970.00","1,930.10","1,943.20","1,955.00","-","11.80","0.61","15,35,231","299.29","2,068.70","1,613.70","-0.79","6.69"
"SHREECEM","26,275.00","26,405.00","26,090.00","26,275.00","26,400.00","-","125.00","0.48","1,37,300","360.88","32,490.00","24,817.80","-0.23","1.12"
"VBL","483.00","487.00","480.20","482.70","484.40","-","1.70","0.35","52,38,532","253.97","663.60","419.55","0.60","-22.40"
